"cluster1"	"cluster2"	"cluster3"	"cluster4"	"cluster5"	"cluster6"
"cell_1"	0	0	1	0	0	0
"cell_2"	0	0	1	0	0	0
"cell_3"	0	0	1	0	0	0
"cell_4"	0	0	1	0	0	0
"cell_5"	0	0	1	0	0	0
"cell_6"	0	0	1	0	0	0
"cell_7"	0	0	1	0	0	0
"cell_8"	0	0	1	0	0	0
"cell_9"	0	0	1	0	0	0
"cell_10"	0	0	1	0	0	0
"cell_11"	0	0	1	0	0	0
"cell_12"	0	0	1	0	0	0
"cell_13"	0	0	1	0	0	0
"cell_14"	0	0	1	0	0	0
"cell_15"	0	0	1	0	0	0
"cell_16"	0	0	1	0	0	0
"cell_17"	0	0	1	0	0	0
"cell_18"	0	0	1	0	0	0
"cell_19"	0	0	1	0	0	0
"cell_20"	0	0	1	0	0	0
"cell_21"	0	0	1	0	0	0
"cell_22"	0	0	1	0	0	0
"cell_23"	0	0	1	0	0	0
"cell_24"	0	0	1	0	0	0
"cell_25"	0	0	1	0	0	0
"cell_26"	0	0	1	0	0	0
"cell_27"	0	0	1	0	0	0
"cell_28"	0	0	1	0	0	0
"cell_29"	0	0	1	0	0	0
"cell_30"	0	0	1	0	0	0
"cell_31"	0	0	1	0	0	0
"cell_32"	0	0	1	0	0	0
"cell_33"	0	0	1	0	0	0
"cell_34"	0	0	1	0	0	0
"cell_35"	0	0	1	0	0	0
"cell_36"	0	0	1	0	0	0
"cell_37"	0	0	1	0	0	0
"cell_38"	0	0	1	0	0	0
"cell_39"	0	0	1	0	0	0
"cell_40"	0	0	1	0	0	0
"cell_41"	0	0	1	0	0	0
"cell_42"	0	0	1	0	0	0
"cell_43"	0	0	1	0	0	0
"cell_44"	0	0	1	0	0	0
"cell_45"	0	0	1	0	0	0
"cell_46"	0	0	1	0	0	0
"cell_47"	0	0	1	0	0	0
"cell_48"	0	0	1	0	0	0
"cell_49"	0	0	1	0	0	0
"cell_50"	0	0	1	0	0	0
"cell_51"	0	0	1	0	0	0
"cell_52"	0	0	1	0	0	0
"cell_53"	0	0	1	0	0	0
"cell_54"	0	0	1	0	0	0
"cell_55"	0	0	1	0	0	0
"cell_56"	0	0	1	0	0	0
"cell_57"	0	0	1	0	0	0
"cell_58"	0	0	1	0	0	0
"cell_59"	0	0	1	0	0	0
"cell_60"	0	0	1	0	0	0
"cell_61"	0	0	1	0	0	0
"cell_62"	0	0	1	0	0	0
"cell_63"	0	1	0	0	0	0
"cell_64"	0	1	0	0	0	0
"cell_65"	0	0	1	0	0	0
"cell_66"	0	1	0	0	0	0
"cell_67"	0	1	0	0	0	0
"cell_68"	0	0	1	0	0	0
"cell_69"	0	1	0	0	0	0
"cell_70"	0	1	0	0	0	0
"cell_71"	0	0	1	0	0	0
"cell_72"	0	1	0	0	0	0
"cell_73"	0	1	0	0	0	0
"cell_74"	0	1	0	0	0	0
"cell_75"	0	1	0	0	0	0
"cell_76"	0	0	1	0	0	0
"cell_77"	0	0	1	0	0	0
"cell_78"	0	1	0	0	0	0
"cell_79"	0	0	1	0	0	0
"cell_80"	0	1	0	0	0	0
"cell_81"	0	0	1	0	0	0
"cell_82"	0	0	1	0	0	0
"cell_83"	0	0	1	0	0	0
"cell_84"	0	0	1	0	0	0
"cell_85"	0	0	1	0	0	0
"cell_86"	0	0	1	0	0	0
"cell_87"	0	0	1	0	0	0
"cell_88"	0	0	1	0	0	0
"cell_89"	0	0	1	0	0	0
"cell_90"	0	0	1	0	0	0
"cell_91"	0	0	1	0	0	0
"cell_92"	0	0	1	0	0	0
"cell_93"	0	0	1	0	0	0
"cell_94"	0	0	1	0	0	0
"cell_95"	0	0	1	0	0	0
"cell_96"	0	0	1	0	0	0
"cell_97"	0	0	1	0	0	0
"cell_98"	0	0	1	0	0	0
"cell_99"	0	0	1	0	0	0
"cell_100"	0	0	1	0	0	0
"cell_101"	0	0	1	0	0	0
"cell_102"	0	0	1	0	0	0
"cell_103"	0	0	1	0	0	0
"cell_104"	0	0	1	0	0	0
"cell_105"	0	0	1	0	0	0
"cell_106"	0	0	1	0	0	0
"cell_107"	0	0	1	0	0	0
"cell_108"	0	0	1	0	0	0
"cell_109"	0	0	1	0	0	0
"cell_110"	0	0	1	0	0	0
"cell_111"	0	0	1	0	0	0
"cell_112"	0	0	1	0	0	0
"cell_113"	0	0	1	0	0	0
"cell_114"	0	0	1	0	0	0
"cell_115"	0	0	1	0	0	0
"cell_116"	0	0	1	0	0	0
"cell_117"	0	0	1	0	0	0
"cell_118"	0	0	1	0	0	0
"cell_119"	0	0	1	0	0	0
"cell_120"	0	0	1	0	0	0
"cell_121"	0	0	1	0	0	0
"cell_122"	0	0	1	0	0	0
